datetime [CET],snow height [cm],air temperature [°C],relative humidity [%]
2014-08-01 03:30:00,-3.9,9.2,83.8
2014-08-01 03:40:00,-4.6,9.4,83.4
2014-08-01 03:50:00,-5.3,9.2,84.8
2014-08-01 04:10:00,-4.2,8.9,89.2
2014-08-01 04:20:00,-4.2,8.6,94.2
2014-08-01 04:30:00,-4.1,8.6,95.3
2014-08-01 04:40:00,-3.9,8.6,95.4
2014-08-01 04:50:00,-4.0,8.7,95.4
2014-08-01 05:10:00,-3.9,8.8,95.4
2014-08-01 05:30:00,-4.1,9.1,95.4
2014-08-01 06:00:00,-4.2,9.4,91.1
2014-08-01 06:10:00,-4.3,9.2,92.2
2014-08-01 06:20:00,-4.3,9.1,93.5
2014-08-01 06:50:00,-4.7,10.0,83.1
2014-08-01 07:00:00,-4.9,10.5,82.2
2014-08-01 07:10:00,-4.8,10.6,83.1
2014-08-01 07:20:00,-4.5,11.7,77.2
2014-08-01 07:30:00,-4.4,12.0,72.8
2014-08-01 07:40:00,-4.8,11.8,75.0
2014-08-01 07:50:00,-4.6,11.0,79.5
2014-08-01 08:00:00,-3.4,10.9,80.8
2014-08-01 08:10:00,-1.8,11.1,80.8
2014-08-01 08:30:00,0.30000000000000004,11.5,79.5
2014-08-01 08:40:00,-0.5,11.4,82.1
2014-08-01 08:50:00,-1.3,11.5,81.2
2014-08-01 09:00:00,-2.2,12.0,75.8
2014-08-01 09:10:00,-2.0,11.5,80.4
2014-08-01 09:20:00,-0.2,11.0,81.1
2014-08-01 09:40:00,-0.7000000000000001,11.0,81.7
2014-08-01 09:50:00,-1.6,11.0,84.2
2014-08-01 10:00:00,-2.6,11.3,82.8
2014-08-01 10:10:00,-3.1,11.2,82.5
2014-08-01 10:20:00,-1.8,11.3,81.8
2014-08-01 10:30:00,-0.5,11.4,82.7
2014-08-01 10:50:00,-1.7000000000000002,11.6,79.7
2014-08-01 11:00:00,-2.7,11.8,75.2
